0,11,3,3,1,125
0,11,4,0,1,125
0,11,5,1,1,125
0,11,6,2,1,125
0,11,7,3,1,125
0,11,8,8,1,125
0,11,9,9,1,125
0,11,10,10,1,125
0,11,11,11,1,125
0,11,12,8,1,125
0,11,13,9,1,125
0,11,14,10,1,125
0,11,15,11,1,125
0,12,0,0,1,125
0,12,1,0,1,125
0,12,2,0,1,125
0,12,3,0,1,125
0,12,4,4,1,125
0,12,5,4,1,125
0,12,6,4,1,125
0,12,7,4,1,125
0,12,8,8,1,125
0,12,9,8,1,125
0,12,10,8,1,125
0,12,11,8,1,125
0,12,12,12,1,125
0,12,13,12,1,125
0,12,14,12,1,125
0,12,15,12,1,125
0,13,0,0,1,125
0,13,1,1,1,125
0,13,2,0,1,125
0,13,3,1,1,125
0,13,4,4,1,125
0,13,5,5,1,125
0,13,6,4,1,125
0,13,7,5,1,125
0,13,8,8,1,125
0,13,9,9,1,125
0,13,10,8,1,125
0,13,11,9,1,125
0,13,12,12,1,125
0,13,13,13,1,125
0,13,14,12,1,125
0,13,15,13,1,125
0,14,0,0,1,125
0,14,1,0,1,125
0,14,2,2,1,125
0,14,3,2,1,125
0,14,4,4,1,125
0,14,5,4,1,125
0,14,6,6,1,125
0,14,7,6,1,125
0,14,8,8,1,125
0,14,9,8,1,125
0,14,10,10,1,125
0,14,11,10,1,125
0,14,12,12,1,125
0,14,13,12,1,125
0,14,14,14,1,125
0,14,15,14,1,125
0,15,0,0,1,125
0,15,1,1,1,125
0,15,2,2,1,125
0,15,3,3,1,125
0,15,4,4,1,125
0,15,5,5,1,125
0,15,6,6,1,125
0,15,7,7,1,125
0,15,8,8,1,125
0,15,9,9,1,125
0,15,10,10,1,125
0,15,11,11,1,125
0,15,12,12,1,125
0,15,13,13,1,125
0,15,14,14,1,125
0,15,15,15,1,125
1,0,0,0,1,125
1,0,1,1,1,125
1,0,2,0,1,125
1,0,3,1,1,125
1,0,4,0,1,125
1,0,5,1,1,125
1,0,6,0,1,125
1,0,7,1,1,125
1,0,8,0,1,125
1,0,9,1,1,125
1,0,10,0,1,125
1,0,11,1,1,125
1,0,12,0,1,125
1,0,13,1,1,125
1,0,14,0,1,125
1,0,15,1,1,125
1,1,0,1,1,125
1,1,1,1,1,125
1,1,2,1,1,125
1,1,3,1,1,125
1,1,4,1,1,125
1,1,5,1,1,125
1,1,6,1,1,125
1,1,7,1,1,125
1,1,8,1,1,125
1,1,9,1,1,125
1,1,10,1,1,125
1,1,11,1,1,125
1,1,12,1,1,125
1,1,13,1,1,125
1,1,14,1,1,125
1,1,15,1,1,125
1,2,0,0,1,125
1,2,1,1,1,125
1,2,2,2,1,125
1,2,3,3,1,125
1,2,4,0,1,125
1,2,5,1,1,125
1,2,6,2,1,125
1,2,7,3,1,125
1,2,8,0,1,125
1,2,9,1,1,125
1,2,10,2,1,125
1,2,11,3,1,125
1,2,12,0,1,125
1,2,13,1,1,125
1,2,14,2,1,125
1,2,15,3,1,125
1,3,0,1,1,125
1,3,1,1,1,125
1,3,2,3,1,125
1,3,3,3,1,125
1,3,4,1,1,125
1,3,5,1,1,125
1,3,6,3,1,125
1,3,7,3,1,125
1,3,8,1,1,125
1,3,9,1,1,125
1,3,10,3,1,125
1,3,11,3,1,125
1,3,12,1,1,125
1,3,13,1,1,125
1,3,14,3,1,125
1,3,15,3,1,125
1,4,0,0,1,125
1,4,1,1,1,125
1,4,2,0,1,125
1,4,3,1,1,125
1,4,4,4,1,125
1,4,5,5,1,125
1,4,6,4,1,125
1,4,7,5,1,125
1,4,8,0,1,125
1,4,9,1,1,125
1,4,10,0,1,125
1,4,11,1,1,125
1,4,12,4,1,125
1,4,13,5,1,125
1,4,14,4,1,125
1,4,15,5,1,125
1,5,0,1,1,125
1,5,1,1,1,125
1,5,2,1,1,125
1,5,3,1,1,125
1,5,4,5,1,125
1,5,5,5,1,125
1,5,6,5,1,125
1,5,7,5,1,125
1,5,8,1,1,125
1,5,9,1,1,125
1,5,10,1,1,125
1,5,11,1,1,125
1,5,12,5,1,125
1,5,13,5,1,125
1,5,14,5,1,125
1,5,15,5,1,125
1,6,0,0,1,125
1,6,1,1,1,125
1,6,2,2,1,125
1,6,3,3,1,125
1,6,4,4,1,125
1,6,5,5,1,125
1,6,6,6,1,125
1,6,7,7,1,125
1,6,8,0,1,125
1,6,9,1,1,125
1,6,10,2,1,125
1,6,11,3,1,125
1,6,12,4,1,125
1,6,13,5,1,125
1,6,14,6,1,125
1,6,15,7,1,125
1,7,0,1,1,125
1,7,1,1,1,125
1,7,2,3,1,125
1,7,3,3,1,125
1,7,4,5,1,125
1,7,5,5,1,125
1,7,6,7,1,125
1,7,7,7,1,125
1,7,8,1,1,125
1,7,9,1,1,125
1,7,10,3,1,125
1,7,11,3,1,125
1,7,12,5,1,125
1,7,13,5,1,125
1,7,14,7,1,125
1,7,15,7,1,125
1,8,0,0,1,125
1,8,1,1,1,125
1,8,2,0,1,125
1,8,3,1,1,125
1,8,4,0,1,125
1,8,5,1,1,125
1,8,6,0,1,125
1,8,7,1,1,125
1,8,8,8,1,125
1,8,9,9,1,125
1,8,10,8,1,125
1,8,11,9,1,125
1,8,12,8,1,125
1,8,13,9,1,125
1,8,14,8,1,125
1,8,15,9,1,125
1,9,0,1,1,125
1,9,1,1,1,125
1,9,2,1,1,125
1,9,3,1,1,125
1,9,4,1,1,125
1,9,5,1,1,125
1,9,6,1,1,125
1,9,7,1,1,125
1,9,8,9,1,125
1,9,9,9,1,125
1,9,10,9,1,125
1,9,11,9,1,125
1,9,12,9,1,125
1,9,13,9,1,125
1,9,14,9,1,125
1,9,15,9,1,125
1,10,0,0,1,125
1,10,1,1,1,125
1,10,2,2,1,125
1,10,3,3,1,125
1,10,4,0,1,125
1,10,5,1,1,125
1,10,6,2,1,125
1,10,7,3,1,125
1,10,8,8,1,125
1,10,9,9,1,125
1,10,10,10,1,125
1,10,11,11,1,125
1,10,12,8,1,125
1,10,13,9,1,125
1,10,14,10,1,125
1,10,15,11,1,125
1,11,0,1,1,125
1,11,1,1,1,125
1,11,2,3,1,125
1,11,3,3,1,125
1,11,4,1,1,125
1,11,5,1,1,125
1,11,6,3,1,125
1,11,7,3,1,125
1,11,8,9,1,125
1,11,9,9,1,125
1,11,10,11,1,125
1,11,11,11,1,125
1,11,12,9,1,125
1,11,13,9,1,125
1,11,14,11,1,125
1,11,15,11,1,125
1,12,0,0,1,125
1,12,1,1,1,125
1,12,2,0,1,125
1,12,3,1,1,125
1,12,4,4,1,125
1,12,5,5,1,125
1,12,6,4,1,125
1,12,7,5,1,125
1,12,8,8,1,125
1,12,9,9,1,125
1,12,10,8,1,125
1,12,11,9,1,125
1,12,12,12,1,125
1,12,13,13,1,125
1,12,14,12,1,125
1,12,15,13,1,125
1,13,0,1,1,125
1,13,1,1,1,125
1,13,2,1,1,125
1,13,3,1,1,125
1,13,4,5,1,125
1,13,5,5,1,125
1,13,6,5,1,125
1,13,7,5,1,125
1,13,8,9,1,125
1,13,9,9,1,125
1,13,10,9,1,125
1,13,11,9,1,125
1,13,12,13,1,125
1,13,13,13,1,125
1,13,14,13,1,125
1,13,15,13,1,125
1,14,0,0,1,125
1,14,1,1,1,125
1,14,2,2,1,125
1,14,3,3,1,125
1,14,4,4,1,125
1,14,5,5,1,125
1,14,6,6,1,125
1,14,7,7,1,125
1,14,8,8,1,125
1,14,9,9,1,125
1,14,10,10,1,125
1,14,11,11,1,125
1,14,12,12,1,125
1,14,13,13,1,125
1,14,14,14,1,125
1,14,15,15,1,125
1,15,0,1,1,125
1,15,1,1,1,125
1,15,2,3,1,125
1,15,3,3,1,125
1,15,4,5,1,125
1,15,5,5,1,125
1,15,6,7,1,125
1,15,7,7,1,125
1,15,8,9,1,125
1,15,9,9,1,125
1,15,10,11,1,125
1,15,11,11,1,125
1,15,12,13,1,125
1,15,13,13,1,125
1,15,14,15,1,125
1,15,15,15,1,125
2,0,0,0,1,125
2,0,1,0,1,125
2,0,2,2,1,125
2,0,3,2,1,125
2,0,4,0,1,125
2,0,5,0,1,125
2,0,6,2,1,125
2,0,7,2,1,125
2,0,8,0,1,125
2,0,9,0,1,125
2,0,10,2,1,125
2,0,11,2,1,125
2,0,12,0,1,125
2,0,13,0,1,125
2,0,14,2,1,125
2,0,15,2,1,125
2,1,0,0,1,125
2,1,1,1,1,125
2,1,2,2,1,125
2,1,3,3,1,125
2,1,4,0,1,125
2,1,5,1,1,125
2,1,6,2,1,125
2,1,7,3,1,125
2,1,8,0,1,125
2,1,9,1,1,125
2,1,10,2,1,125
2,1,11,3,1,125
2,1,12,0,1,125
2,1,13,1,1,125
2,1,14,2,1,125
2,1,15,3,1,125
2,2,0,2,1,125
2,2,1,2,1,125
2,2,2,2,1,125
2,2,3,2,1,125
2,2,4,2,1,125
2,2,5,2,1,125
2,2,6,2,1,125
2,2,7,2,1,125
2,2,8,2,1,125
2,2,9,2,1,125
2,2,10,2,1,125
2,2,11,2,1,125
2,2,12,2,1,125
2,2,13,2,1,125
2,2,14,2,1,125
2,2,15,2,1,125
2,3,0,2,1,125
2,3,1,3,1,125
2,3,2,2,1,125
2,3,3,3,1,125
2,3,4,2,1,125
2,3,5,3,1,125
2,3,6,2,1,125
2,3,7,3,1,125
2,3,8,2,1,125
2,3,9,3,1,125
2,3,10,2,1,125
2,3,11,3,1,125
2,3,12,2,1,125
2,3,13,3,1,125
2,3,14,2,1,125
2,3,15,3,1,125
2,4,0,0,1,125
2,4,1,0,1,125
2,4,2,2,1,125
2,4,3,2,1,125
2,4,4,4,1,125
2,4,5,4,1,125
2,4,6,6,1,125
2,4,7,6,1,125
2,4,8,0,1,125
2,4,9,0,1,125
2,4,10,2,1,125
2,4,11,2,1,125
2,4,12,4,1,125
2,4,13,4,1,125
2,4,14,6,1,125
2,4,15,6,1,125
2,5,0,0,1,125
2,5,1,1,1,125
2,5,2,2,1,125
2,5,3,3,1,125
2,5,4,4,1,125
2,5,5,5,1,125
2,5,6,6,1,125
2,5,7,7,1,125
2,5,8,0,1,125
2,5,9,1,1,125
2,5,10,2,1,125
2,5,11,3,1,125
2,5,12,4,1,125
2,5,13,5,1,125
2,5,14,6,1,125
2,5,15,7,1,125
2,6,0,2,1,125
2,6,1,2,1,125
2,6,2,2,1,125
2,6,3,2,1,125
2,6,4,6,1,125
2,6,5,6,1,125
2,6,6,6,1,125
2,6,7,6,1,125
2,6,8,2,1,125
2,6,9,2,1,125
2,6,10,2,1,125
2,6,11,2,1,125
2,6,12,6,1,125
2,6,13,6,1,125
2,6,14,6,1,125
2,6,15,6,1,125
2,7,0,2,1,125
2,7,1,3,1,125
2,7,2,2,1,125
2,7,3,3,1,125
2,7,4,6,1,125
2,7,5,7,1,125
2,7,6,6,1,125
2,7,7,7,1,125
2,7,8,2,1,125
2,7,9,3,1,125
2,7,10,2,1,125
2,7,11,3,1,125
2,7,12,6,1,125
2,7,13,7,1,125
2,7,14,6,1,125
2,7,15,7,1,125
2,8,0,0,1,125
2,8,1,0,1,125
2,8,2,2,1,125
2,8,3,2,1,125
2,8,4,0,1,125
2,8,5,0,1,125
2,8,6,2,1,125
2,8,7,2,1,125
2,8,8,8,1,125
2,8,9,8,1,125
2,8,10,10,1,125
2,8,11,10,1,125
2,8,12,8,1,125
2,8,13,8,1,125
2,8,14,10,1,125
2,8,15,10,1,125
2,9,0,0,1,125
2,9,1,1,1,125
2,9,2,2,1,125
2,9,3,3,1,125
2,9,4,0,1,125
2,9,5,1,1,125
2,9,6,2,1,125
2,9,7,3,1,125
2,9,8,8,1,125
2,9,9,9,1,125
2,9,10,10,1,125
2,9,11,11,1,125
2,9,12,8,1,125
2,9,13,9,1,125
2,9,14,10,1,125
2,9,15,11,1,125
2,10,0,2,1,125
2,10,1,2,1,125
2,10,2,2,1,125
2,10,3,2,1,125
2,10,4,2,1,125
2,10,5,2,1,125
2,10,6,2,1,125
2,10,7,2,1,125
2,10,8,10,1,125
2,10,9,10,1,125
2,10,10,10,1,125
2,10,11,10,1,125
2,10,12,10,1,125
2,10,13,10,1,125
2,10,14,10,1,125
2,10,15,10,1,125
2,11,0,2,1,125
2,11,1,3,1,125
2,11,2,2,1,125
2,11,3,3,1,125
2,11,4,2,1,125
2,11,5,3,1,125
2,11,6,2,1,125
2,11,7,3,1,125
2,11,8,10,1,125
2,11,9,11,1,125
2,11,10,10,1,125
2,11,11,11,1,125
2,11,12,10,1,125
2,11,13,11,1,125
2,11,14,10,1,125
2,11,15,11,1,125
2,12,0,0,1,125
2,12,1,0,1,125
2,12,2,2,1,125
2,12,3,2,1,125
2,12,4,4,1,125
2,12,5,4,1,125
2,12,6,6,1,125
2,12,7,6,1,125
2,12,8,8,1,125
2,12,9,8,1,125
2,12,10,10,1,125
2,12,11,10,1,125
2,12,12,12,1,125
2,12,13,12,1,125
2,12,14,14,1,125
2,12,15,14,1,125
2,13,0,0,1,125
2,13,1,1,1,125
2,13,2,2,1,125
2,13,3,3,1,125
2,13,4,4,1,125
2,13,5,5,1,125
2,13,6,6,1,125
2,13,7,7,1,125
2,13,8,8,1,125
2,13,9,9,1,125
2,13,10,10,1,125
2,13,11,11,1,125
2,13,12,12,1,125
2,13,13,13,1,125
2,13,14,14,1,125
2,13,15,15,1,125
2,14,0,2,1,125
2,14,1,2,1,125
2,14,2,2,1,125
2,14,3,2,1,125
2,14,4,6,1,125
2,14,5,6,1,125
2,14,6,6,1,125
2,14,7,6,1,125
2,14,8,10,1,125
2,14,9,10,1,125
2,14,10,10,1,125
2,14,11,10,1,125
2,14,12,14,1,125
2,14,13,14,1,125
2,14,14,14,1,125
2,14,15,14,1,125
2,15,0,2,1,125
2,15,1,3,1,125
2,15,2,2,1,125
2,15,3,3,1,125
2,15,4,6,1,125
2,15,5,7,1,125
2,15,6,6,1,125
2,15,7,7,1,125
2,15,8,10,1,125
2,15,9,11,1,125
2,15,10,10,1,125
2,15,11,11,1,125
2,15,12,14,1,125
2,15,13,15,1,125
2,15,14,14,1,125
2,15,15,15,1,125
3,0,0,0,1,125
3,0,1,1,1,125
3,0,2,2,1,125
3,0,3,3,1,125
3,0,4,0,1,125
3,0,5,1,1,125
3,0,6,2,1,125
3,0,7,3,1,125
3,0,8,0,1,125
3,0,9,1,1,125
3,0,10,2,1,125
3,0,11,3,1,125
3,0,12,0,1,125
3,0,13,1,1,125
3,0,14,2,1,125
3,0,15,3,1,125
3,1,0,1,1,125
3,1,1,1,1,125
3,1,2,3,1,125
3,1,3,3,1,125
3,1,4,1,1,125
3,1,5,1,1,125
3,1,6,3,1,125
3,1,7,3,1,125
3,1,8,1,1,125
3,1,9,1,1,125
3,1,10,3,1,125
3,1,11,3,1,125
3,1,12,1,1,125
3,1,13,1,1,125
3,1,14,3,1,125
3,1,15,3,1,125
3,2,0,2,1,125
3,2,1,3,1,125
3,2,2,2,1,125
3,2,3,3,1,125
3,2,4,2,1,125
3,2,5,3,1,125
3,2,6,2,1,125
3,2,7,3,1,125
3,2,8,2,1,125
3,2,9,3,1,125
3,2,10,2,1,125
3,2,11,3,1,125
3,2,12,2,1,125
3,2,13,3,1,125
3,2,14,2,1,125
3,2,15,3,1,125
3,3,0,3,1,125
3,3,1,3,1,125
3,3,2,3,1,125
3,3,3,3,1,125
3,3,4,3,1,125
3,3,5,3,1,125
3,3,6,3,1,125
3,3,7,3,1,125
3,3,8,3,1,125
3,3,9,3,1,125
3,3,10,3,1,125
3,3,11,3,1,125
3,3,12,3,1,125
3,3,13,3,1,125
3,3,14,3,1,125
3,3,15,3,1,125
3,4,0,0,1,125
3,4,1,1,1,125
3,4,2,2,1,125
3,4,3,3,1,125
3,4,4,4,1,125
3,4,5,5,1,125
3,4,6,6,1,125
3,4,7,7,1,125
3,4,8,0,1,125
3,4,9,1,1,125
3,4,10,2,1,125
3,4,11,3,1,125
3,4,12,4,1,125
3,4,13,5,1,125
3,4,14,6,1,125
3,4,15,7,1,125
3,5,0,1,1,125
3,5,1,1,1,125
3,5,2,3,1,125
3,5,3,3,1,125
3,5,4,5,1,125
3,5,5,5,1,125
3,5,6,7,1,125
3,5,7,7,1,125
3,5,8,1,1,125
3,5,9,1,1,125
3,5,10,3,1,125
3,5,11,3,1,125
3,5,12,5,1,125
3,5,13,5,1,125
3,5,14,7,1,125
3,5,15,7,1,125
3,6,0,2,1,125
3,6,1,3,1,125
3,6,2,2,1,125
3,6,3,3,1,125
3,6,4,6,1,125
3,6,5,7,1,125
3,6,6,6,1,125
3,6,7,7,1,125
3,6,8,2,1,125
3,6,9,3,1,125
3,6,10,2,1,125
3,6,11,3,1,125
3,6,12,6,1,125
3,6,13,7,1,125
3,6,14,6,1,125
3,6,15,7,1,125
3,7,0,3,1,125
3,7,1,3,1,125
3,7,2,3,1,125
3,7,3,3,1,125
3,7,4,7,1,125
3,7,5,7,1,125
3,7,6,7,1,125
3,7,7,7,1,125
3,7,8,3,1,125
3,7,9,3,1,125
3,7,10,3,1,125
3,7,11,3,1,125
3,7,12,7,1,125
3,7,13,7,1,125
3,7,14,7,1,125
3,7,15,7,1,125
3,8,0,0,1,125
3,8,1,1,1,125
3,8,2,2,1,125
3,8,3,3,1,125
3,8,4,0,1,125
3,8,5,1,1,125
3,8,6,2,1,125
3,8,7,3,1,125
3,8,8,8,1,125
3,8,9,9,1,125
3,8,10,10,1,125
3,8,11,11,1,125
3,8,12,8,1,125
3,8,13,9,1,125
3,8,14,10,1,125
3,8,15,11,1,125
3,9,0,1,1,125
3,9,1,1,1,125
3,9,2,3,1,125
3,9,3,3,1,125
3,9,4,1,1,125
3,9,5,1,1,125
3,9,6,3,1,125
3,9,7,3,1,125
3,9,8,9,1,125
3,9,9,9,1,125
3,9,10,11,1,125
3,9,11,11,1,125
3,9,12,9,1,125
3,9,13,9,1,125
3,9,14,11,1,125
3,9,15,11,1,125
3,10,0,2,1,125
3,10,1,3,1,125
3,10,2,2,1,125
3,10,3,3,1,125
3,10,4,2,1,125
3,10,5,3,1,125
3,10,6,2,1,125
3,10,7,3,1,125
3,10,8,10,1,125
3,10,9,11,1,125
3,10,10,10,1,125
3,10,11,11,1,125
3,10,12,10,1,125
3,10,13,11,1,125
3,10,14,10,1,125
3,10,15,11,1,125
3,11,0,3,1,125
3,11,1,3,1,125
3,11,2,3,1,125
3,11,3,3,1,125
3,11,4,3,1,125
3,11,5,3,1,125
3,11,6,3,1,125
3,11,7,3,1,125
3,11,8,11,1,125
3,11,9,11,1,125
3,11,10,11,1,125
3,11,11,11,1,125
3,11,12,11,1,125
3,11,13,11,1,125
3,11,14,11,1,125
3,11,15,11,1,125
3,12,0,0,1,125
3,12,1,1,1,125
3,12,2,2,1,125
3,12,3,3,1,125
3,12,4,4,1,125
3,12,5,5,1,125
3,12,6,6,1,125
3,12,7,7,1,125
3,12,8,8,1,125
3,12,9,9,1,125
3,12,10,10,1,125
3,12,11,11,1,125
3,12,12,12,1,125
3,12,13,13,1,125
3,12,14,14,1,125
3,12,15,15,1,125
3,13,0,1,1,125
3,13,1,1,1,125
3,13,2,3,1,125
3,13,3,3,1,125
3,13,4,5,1,125
3,13,5,5,1,125
3,13,6,7,1,125
3,13,7,7,1,125
3,13,8,9,1,125
3,13,9,9,1,125
3,13,10,11,1,125
3,13,11,11,1,125
3,13,12,13,1,125
3,13,13,13,1,125
3,13,14,15,1,125
3,13,15,15,1,125
3,14,0,2,1,125
3,14,1,3,1,125
3,14,2,2,1,125
3,14,3,3,1,125
3,14,4,6,1,125
3,14,5,7,1,125
3,14,6,6,1,125
3,14,7,7,1,125
3,14,8,10,1,125
3,14,9,11,1,125
3,14,10,10,1,125
3,14,11,11,1,125
3,14,12,14,1,125
3,14,13,15,1,125
3,14,14,14,1,125
3,14,15,15,1,125
3,15,0,3,1,125
3,15,1,3,1,125
3,15,2,3,1,125
3,15,3,3,1,125
3,15,4,7,1,125
3,15,5,7,1,125
3,15,6,7,1,125
3,15,7,7,1,125
3,15,8,11,1,125
3,15,9,11,1,125
3,15,10,11,1,125
3,15,11,11,1,125
3,15,12,15,1,125
3,15,13,15,1,125
3,15,14,15,1,125
3,15,15,15,1,125
4,0,0,0,1,125
4,0,1,0,1,125
4,0,2,0,1,125
4,0,3,0,1,125
4,0,4,4,1,125
4,0,5,4,1,125
4,0,6,4,1,125
4,0,7,4,1,125
4,0,8,0,1,125
4,0,9,0,1,125
4,0,10,0,1,125
4,0,11,0,1,125
4,0,12,4,1,125
4,0,13,4,1,125
4,0,14,4,1,125
4,0,15,4,1,125
4,1,0,0,1,125
4,1,1,1,1,125
4,1,2,0,1,125
4,1,3,1,1,125
4,1,4,4,1,125
4,1,5,5,1,125
4,1,6,4,1,125
4,1,7,5,1,125
4,1,8,0,1,125
4,1,9,1,1,125
4,1,10,0,1,125
4,1,11,1,1,125
4,1,12,4,1,125
4,1,13,5,1,125
4,1,14,4,1,125
4,1,15,5,1,125
4,2,0,0,1,125
4,2,1,0,1,125
4,2,2,2,1,125
4,2,3,2,1,125
4,2,4,4,1,125
4,2,5,4,1,125
4,2,6,6,1,125
4,2,7,6,1,125
4,2,8,0,1,125
4,2,9,0,1,125
4,2,10,2,1,125
4,2,11,2,1,125
4,2,12,4,1,125
4,2,13,4,1,125
4,2,14,6,1,125
4,2,15,6,1,125
4,3,0,0,1,125
4,3,1,1,1,125
4,3,2,2,1,125
4,3,3,3,1,125
4,3,4,4,1,125
4,3,5,5,1,125
4,3,6,6,1,125
4,3,7,7,1,125
4,3,8,0,1,125
4,3,9,1,1,125
4,3,10,2,1,125
4,3,11,3,1,125
4,3,12,4,1,125
4,3,13,5,1,125
4,3,14,6,1,125
4,3,15,7,1,125
4,4,0,4,1,125
4,4,1,4,1,125
4,4,2,4,1,125
4,4,3,4,1,125
4,4,4,4,1,125
4,4,5,4,1,125
4,4,6,4,1,125
4,4,7,4,1,125
4,4,8,4,1,125
4,4,9,4,1,125
4,4,10,4,1,125
4,4,11,4,1,125
4,4,12,4,1,125
4,4,13,4,1,125
4,4,14,4,1,125
4,4,15,4,1,125
4,5,0,4,1,125
4,5,1,5,1,125
4,5,2,4,1,125
4,5,3,5,1,125
4,5,4,4,1,125
4,5,5,5,1,125
4,5,6,4,1,125
4,5,7,5,1,125
4,5,8,4,1,125
4,5,9,5,1,125
4,5,10,4,1,125
4,5,11,5,1,125
4,5,12,4,1,125
4,5,13,5,1,125
4,5,14,4,1,125
4,5,15,5,1,125
4,6,0,4,1,125
4,6,1,4,1,125
4,6,2,6,1,125
4,6,3,6,1,125
4,6,4,4,1,125
4,6,5,4,1,125
4,6,6,6,1,125
4,6,7,6,1,125
4,6,8,4,1,125
4,6,9,4,1,125
4,6,10,6,1,125
4,6,11,6,1,125
4,6,12,4,1,125
4,6,13,4,1,125
4,6,14,6,1,125
4,6,15,6,1,125
4,7,0,4,1,125
4,7,1,5,1,125
4,7,2,6,1,125
4,7,3,7,1,125
4,7,4,4,1,125
4,7,5,5,1,125
4,7,6,6,1,125
4,7,7,7,1,125
4,7,8,4,1,125
4,7,9,5,1,125
4,7,10,6,1,125
4,7,11,7,1,125
4,7,12,4,1,125
4,7,13,5,1,125
4,7,14,6,1,125
4,7,15,7,1,125
4,8,0,0,1,125
4,8,1,0,1,125
4,8,2,0,1,125
4,8,3,0,1,125
4,8,4,4,1,125
4,8,5,4,1,125
4,8,6,4,1,125
4,8,7,4,1,125
4,8,8,8,1,125
4,8,9,8,1,125
4,8,10,8,1,125
4,8,11,8,1,125
4,8,12,12,1,125
4,8,13,12,1,125
4,8,14,12,1,125
4,8,15,12,1,125
4,9,0,0,1,125
4,9,1,1,1,125
4,9,2,0,1,125
4,9,3,1,1,125
4,9,4,4,1,125
4,9,5,5,1,125
4,9,6,4,1,125
4,9,7,5,1,125
4,9,8,8,1,125
4,9,9,9,1,125
4,9,10,8,1,125
4,9,11,9,1,125
4,9,12,12,1,125
4,9,13,13,1,125
4,9,14,12,1,125
4,9,15,13,1,125
4,10,0,0,1,125
4,10,1,0,1,125
4,10,2,2,1,125
4,10,3,2,1,125
4,10,4,4,1,125
4,10,5,4,1,125
4,10,6,6,1,125
4,10,7,6,1,125
4,10,8,8,1,125
4,10,9,8,1,125
4,10,10,10,1,125
4,10,11,10,1,125
4,10,12,12,1,125
4,10,13,12,1,125
4,10,14,14,1,125
4,10,15,14,1,125
4,11,0,0,1,125
4,11,1,1,1,125
4,11,2,2,1,125
4,11,3,3,1,125
4,11,4,4,1,125
4,11,5,5,1,125
4,11,6,6,1,125
4,11,7,7,1,125
4,11,8,8,1,125
4,11,9,9,1,125
4,11,10,10,1,125
4,11,11,11,1,125
4,11,12,12,1,125
4,11,13,13,1,125
4,11,14,14,1,125
4,11,15,15,1,125
4,12,0,4,1,125
4,12,1,4,1,125
4,12,2,4,1,125
4,12,3,4,1,125
4,12,4,4,1,125
4,12,5,4,1,125
4,12,6,4,1,125
4,12,7,4,1,125
4,12,8,12,1,125
4,12,9,12,1,125
4,12,10,12,1,125
4,12,11,12,1,125
4,12,12,12,1,125
4,12,13,12,1,125
4,12,14,12,1,125
4,12,15,12,1,125
4,13,0,4,1,125
4,13,1,5,1,125
4,13,2,4,1,125
4,13,3,5,1,125
4,13,4,4,1,125
4,13,5,5,1,125
4,13,6,4,1,125
4,13,7,5,1,125
4,13,8,12,1,125
4,13,9,13,1,125
4,13,10,12,1,125
4,13,11,13,1,125
4,13,12,12,1,125
4,13,13,13,1,125
4,13,14,12,1,125
4,13,15,13,1,125
4,14,0,4,1,125
4,14,1,4,1,125
4,14,2,6,1,125
4,14,3,6,1,125
4,14,4,4,1,125
4,14,5,4,1,125
4,14,6,6,1,125
4,14,7,6,1,125
4,14,8,12,1,125
4,14,9,12,1,125
4,14,10,14,1,125
4,14,11,14,1,125
4,14,12,12,1,125
4,14,13,12,1,125
4,14,14,14,1,125
4,14,15,14,1,125
4,15,0,4,1,125
4,15,1,5,1,125
4,15,2,6,1,125
4,15,3,7,1,125
4,15,4,4,1,125
4,15,5,5,1,125
4,15,6,6,1,125
4,15,7,7,1,125
4,15,8,12,1,125
4,15,9,13,1,125
4,15,10,14,1,125
4,15,11,15,1,125
4,15,12,12,1,125
4,15,13,13,1,125
4,15,14,14,1,125
4,15,15,15,1,125
5,0,0,0,1,125
5,0,1,1,1,125
5,0,2,0,1,125
5,0,3,1,1,125
5,0,4,4,1,125
5,0,5,5,1,125
5,0,6,4,1,125
5,0,7,5,1,125
5,0,8,0,1,125
5,0,9,1,1,125
5,0,10,0,1,125
5,0,11,1,1,125
5,0,12,4,1,125
5,0,13,5,1,125
5,0,14,4,1,125
5,0,15,5,1,125
5,1,0,1,1,125
5,1,1,1,1,125
5,1,2,1,1,125
5,1,3,1,1,125
5,1,4,5,1,125
5,1,5,5,1,125
5,1,6,5,1,125
5,1,7,5,1,125
5,1,8,1,1,125
5,1,9,1,1,125
5,1,10,1,1,125
5,1,11,1,1,125
5,1,12,5,1,125
5,1,13,5,1,125
5,1,14,5,1,125
5,1,15,5,1,125
5,2,0,0,1,125
5,2,1,1,1,125
5,2,2,2,1,125
5,2,3,3,1,125
5,2,4,4,1,125
5,2,5,5,1,125
5,2,6,6,1,125
5,2,7,7,1,125
5,2,8,0,1,125
5,2,9,1,1,125
5,2,10,2,1,125
5,2,11,3,1,125
5,2,12,4,1,125
5,2,13,5,1,125
5,2,14,6,1,125
5,2,15,7,1,125
5,3,0,1,1,125
5,3,1,1,1,125
5,3,2,3,1,125
5,3,3,3,1,125
5,3,4,5,1,125
5,3,5,5,1,125
5,3,6,7,1,125
5,3,7,7,1,125
5,3,8,1,1,125
5,3,9,1,1,125
5,3,10,3,1,125
5,3,11,3,1,125
5,3,12,5,1,125
5,3,13,5,1,125
5,3,14,7,1,125
5,3,15,7,1,125
5,4,0,4,1,125
